ID,Rock,Origin,Transplant,StatusM,StatusE
FF01,FR4,Flat,Shallow,1,1
FF02,FR5,Flat,Shallow,1,1
FF03,FR1,Flat,Shallow,1,1
FF04,FR2,Flat,Shallow,1,1
FF05,FR2,Flat,Shallow,1,1
FF06,FR5,Flat,Shallow,1,1
FF07,FR1,Flat,Shallow,1,1
FF08,FR4,Flat,Shallow,1,1
FF09,FR3,Flat,Shallow,1,1
FF10,FR3,Flat,Shallow,1,1
FF11,FR4,Flat,Shallow,1,1
FF12,FR5,Flat,Shallow,1,1
FF13,FR4,Flat,Shallow,1,1
FF14,FR1,Flat,Shallow,1,1
FF15,FR2,Flat,Shallow,1,1
FF16,FR2,Flat,Shallow,1,1
FF17,FR2,Flat,Shallow,1,1
FF18,FR4,Flat,Shallow,1,1
FF19,FR5,Flat,Shallow,1,1
FF20,FR5,Flat,Shallow,1,1
FF21,FR5,Flat,Shallow,1,1
FF22,FR3,Flat,Shallow,1,1
FF23,FR3,Flat,Shallow,1,1
FF24,FR1,Flat,Shallow,1,1
FF25,FR4,Flat,Shallow,1,1
FF26,FR2,Flat,Shallow,1,1
FF27,FR4,Flat,Shallow,1,1
FF28,FR3,Flat,Shallow,1,1
FF29,FR1,Flat,Shallow,1,1
FF30,FR5,Flat,Shallow,1,1
FF31,FR3,Flat,Shallow,1,1
FF32,FR1,Flat,Shallow,1,1
FF33,FR2,Flat,Shallow,1,1
FF36,FR4,Flat,Shallow,1,1
FF37,FR5,Flat,Shallow,1,1
FF38,FR3,Flat,Shallow,1,1
FF39,FR2,Flat,Shallow,1,1
FF40,FR2,Flat,Shallow,1,1
FF41,FR2,Flat,Shallow,1,1
FF42,FR3,Flat,Shallow,1,1
FF43,FR5,Flat,Shallow,1,1
FF44,FR4,Flat,Shallow,1,1
FF45,FR3,Flat,Shallow,1,1
FF46,FR5,Flat,Shallow,1,1
FF48,FR2,Flat,Shallow,1,1
FF49,FR4,Flat,Shallow,1,1
FF50,FR5,Flat,Shallow,1,1
FS01,SR1,Flat,Deep,1,1
FS02,SR3,Flat,Deep,1,1
FS04,SR5,Flat,Deep,1,1
FS05,SR5,Flat,Deep,1,1
FS06,SR5,Flat,Deep,1,1
FS07,SR4,Flat,Deep,1,1
FS08,SR2,Flat,Deep,1,1
