Date,Time,RFPAR2H,RSPAR2h
6/10/2017, 14:00:00,2.756433333,598.7690417
6/10/2017, 16:00:00,267.4248167,372.7153708
6/10/2017, 18:00:00,11.63321667,72.63388333
6/10/2017, 20:00:00,0,0.024891667
6/10/2017, 22:00:00,0,0
6/10/2017, 24:00:00,0,0
7/10/2017, 02:00:00,0,0
7/10/2017, 04:00:00,0,0
7/10/2017, 06:00:00,62.71891667,3.932883333
7/10/2017, 08:00:00,624.5182,105.515775
7/10/2017, 10:00:00,1147.439683,302.1723875
7/10/2017, 12:00:00,1551.3995,520.559425
7/10/2017, 14:00:00,1397.102467,579.2664208
7/10/2017, 16:00:00,312.24505,367.8739417
7/10/2017, 18:00:00,15.101625,75.0110375
7/10/2017, 20:00:00,0,0.024891667
7/10/2017, 22:00:00,0,0
7/10/2017, 24:00:00,0,0
8/10/2017, 02:00:00,0,0
8/10/2017, 04:00:00,0,0
8/10/2017, 06:00:00,57.07164167,3.8831
8/10/2017, 08:00:00,386.0964917,106.6359
8/10/2017, 10:00:00,1099.251108,337.605675
8/10/2017, 12:00:00,1394.584225,525.039925
8/10/2017, 14:00:00,315.43505,570.1809625
8/10/2017, 16:00:00,615.1173167,363.5179
8/10/2017, 18:00:00,15.56983333,80.275625
8/10/2017, 20:00:00,0,0.0373375
8/10/2017, 22:00:00,0,0
8/10/2017, 24:00:00,0,0
9/10/2017, 02:00:00,0,0
9/10/2017, 04:00:00,0,0
9/10/2017, 06:00:00,60.14484167,4.542729167
9/10/2017, 08:00:00,718.7449333,98.85725417
9/10/2017, 10:00:00,1076.857392,328.644675
9/10/2017, 12:00:00,1202.783867,498.4929625
9/10/2017, 14:00:00,1046.645917,511.0881458
9/10/2017, 16:00:00,553.734025,334.021275
9/10/2017, 18:00:00,13.89639167,77.587325
9/10/2017, 20:00:00,0,0.0373375
9/10/2017, 22:00:00,0,0
9/10/2017, 24:00:00,0,0
10/10/2017, 02:00:00,0,0
10/10/2017, 04:00:00,0,0
10/10/2017, 06:00:00,57.24369167,4.4431625
10/10/2017, 08:00:00,799.405475,118.0860667
10/10/2017, 10:00:00,1101.908017,325.2967458
10/10/2017, 12:00:00,1139.362242,504.4545167
10/10/2017, 14:00:00,921.7296667,507.8397833
10/10/2017, 16:00:00,476.7819083,319.2107333
10/10/2017, 18:00:00,14.06085833,70.74211667
10/10/2017, 20:00:00,0,0.0373375
10/10/2017, 22:00:00,0,0
10/10/2017, 24:00:00,0,0
11/10/2017, 02:00:00,0,0
11/10/2017, 04:00:00,0,0
11/10/2017, 06:00:00,67.81896667,5.239695833
11/10/2017, 08:00:00,889.4159,122.0313958
11/10/2017, 10:00:00,1209.455017,319.9948208
11/10/2017, 12:00:00,936.489075,391.2845542
11/10/2017, 14:00:00,867.6051167,495.9540125
11/10/2017, 16:00:00,450.8990333,271.3938417
11/10/2017, 18:00:00,11.82688333,73.31840417
11/10/2017, 20:00:00,0,0.024891667
11/10/2017, 22:00:00,0,0
11/10/2017, 24:00:00,0,0
12/10/2017, 02:00:00,0,0
12/10/2017, 04:00:00,0,0
12/10/2017, 06:00:00,67.76886667,4.9658875
12/10/2017, 08:00:00,863.3884417,127.4577792
12/10/2017, 10:00:00,1386.38045,376.6731458
12/10/2017, 12:00:00,1131.9406,502.56275
12/10/2017, 14:00:00,622.331375,439.4872667
12/10/2017, 16:00:00,394.0800417,268.9669042
12/10/2017, 18:00:00,11.60244167,58.42074167
12/10/2017, 20:00:00,0,0.0373375
12/10/2017, 22:00:00,0,0
12/10/2017, 24:00:00,0,0
13/10/2017, 02:00:00,0,0
13/10/2017, 04:00:00,0,0
13/10/2017, 06:00:00,61.60114167,3.9951125
13/10/2017, 08:00:00,863.3273667,123.0021708
13/10/2017, 10:00:00,1079.961517,282.1594875
13/10/2017, 12:00:00,1033.813533,451.4974958
13/10/2017, 14:00:00,732.410975,443.2085708
13/10/2017, 16:00:00,232.9245583,211.5044917
13/10/2017, 18:00:00,3.23595,31.2514875
13/10/2017, 20:00:00,0,0.012445833
13/10/2017, 22:00:00,0,0
13/10/2017, 24:00:00,0,0
14/10/2017, 02:00:00,0,0
14/10/2017, 04:00:00,0,0
14/10/2017, 06:00:00,15.239325,1.418825
14/10/2017, 08:00:00,130.97045,39.5404125
14/10/2017, 10:00:00,300.7552667,61.4948625
14/10/2017, 12:00:00,451.31475,105.4659917
14/10/2017, 14:00:00,406.2172917,88.16628333
14/10/2017, 16:00:00,151.1071417,44.49385417
14/10/2017, 18:00:00,5.785833333,14.28781667
14/10/2017, 20:00:00,0,0
14/10/2017, 22:00:00,0,0
14/10/2017, 24:00:00,0,0
15/10/2017, 02:00:00,0,0
15/10/2017, 04:00:00,0,0
15/10/2017, 06:00:00,5.816608333,0.6347375
15/10/2017, 08:00:00,320.798775,29.85755417
15/10/2017, 10:00:00,1443.561225,183.4391375
15/10/2017, 12:00:00,1249.6471,373.1758667
15/10/2017, 14:00:00,751.849725,348.5455625
15/10/2017, 16:00:00,258.7667833,208.0196583
15/10/2017, 18:00:00,5.199391667,35.40839583
15/10/2017, 20:00:00,0,0.012445833
15/10/2017, 22:00:00,0,0
15/10/2017, 24:00:00,0,0
16/10/2017, 02:00:00,0,0
16/10/2017, 04:00:00,0,0
16/10/2017, 06:00:00,8.981275,1.717525
16/10/2017, 08:00:00,472.3425,63.3617375
16/10/2017, 10:00:00,813.751475,247.7218667
16/10/2017, 12:00:00,1009.600958,283.31695
16/10/2017, 14:00:00,743.33095,274.0074667
16/10/2017, 16:00:00,164.421675,146.81105
16/10/2017, 18:00:00,2.682716667,27.16925417
16/10/2017, 20:00:00,0,0
16/10/2017, 22:00:00,0,0
16/10/2017, 24:00:00,0,0
17/10/2017, 02:00:00,0,0
17/10/2017, 04:00:00,0,0
17/10/2017, 06:00:00,44.64385833,2.551395833
17/10/2017, 08:00:00,361.977525,61.22105417
17/10/2017, 10:00:00,865.7409583,171.8520667
17/10/2017, 12:00:00,973.55805,260.391725
17/10/2017, 14:00:00,673.1908333,206.3394708
17/10/2017, 16:00:00,260.7972167,129.7727042
17/10/2017, 18:00:00,2.853625,25.89977917
17/10/2017, 20:00:00,0,0
17/10/2017, 22:00:00,0,0
