Date,Time,RFTempH,RSTempH
24/9/17,1:00:00,22.717,22.908
24/9/17,2:00:00,22.621,22.717
24/9/17,3:00:00,22.429,22.525
24/9/17,4:00:00,22.238,22.429
24/9/17,5:00:00,22.046,22.429
24/9/17,6:00:00,21.855,22.717
24/9/17,7:00:00,21.664,23.004
24/9/17,8:00:00,21.76,23.1
24/9/17,9:00:00,22.429,23.004
24/9/17,10:00:00,23.004,23.004
24/9/17,11:00:00,23.1,23.1
24/9/17,12:00:00,23.677,23.196
24/9/17,13:00:00,24.062,23.292
24/9/17,14:00:00,24.448,23.388
24/9/17,15:00:00,24.545,23.388
24/9/17,16:00:00,24.738,23.388
24/9/17,17:00:00,24.738,23.388
24/9/17,18:00:00,24.351,23.292
24/9/17,19:00:00,23.869,23.292
24/9/17,20:00:00,23.292,23.292
24/9/17,21:00:00,23.292,23.196
24/9/17,22:00:00,23.196,23.1
24/9/17,23:00:00,22.908,23.196
25/9/17,0:00:00,22.717,23.1
25/9/17,1:00:00,22.621,23.1
25/9/17,2:00:00,22.525,22.908
25/9/17,3:00:00,22.429,22.621
25/9/17,4:00:00,22.238,22.429
25/9/17,5:00:00,22.046,22.333
25/9/17,6:00:00,21.664,22.333
25/9/17,7:00:00,21.569,22.429
25/9/17,8:00:00,21.76,23.1
25/9/17,9:00:00,21.855,23.1
25/9/17,10:00:00,22.812,23.1
25/9/17,11:00:00,23.004,23.292
25/9/17,12:00:00,23.773,23.292
25/9/17,13:00:00,24.351,23.292
25/9/17,14:00:00,24.351,23.388
25/9/17,15:00:00,24.641,23.388
25/9/17,16:00:00,24.641,23.388
25/9/17,17:00:00,24.448,23.388
25/9/17,18:00:00,24.158,23.292
25/9/17,19:00:00,23.677,23.292
25/9/17,20:00:00,23.292,23.292
25/9/17,21:00:00,23.196,23.196
25/9/17,22:00:00,23.1,23.196
25/9/17,23:00:00,23.1,23.1
26/9/17,0:00:00,22.621,23.1
26/9/17,1:00:00,22.525,23.1
26/9/17,2:00:00,22.333,22.908
26/9/17,3:00:00,22.333,22.525
26/9/17,4:00:00,22.142,22.333
26/9/17,5:00:00,21.951,22.142
26/9/17,6:00:00,21.664,22.142
26/9/17,7:00:00,21.473,22.333
26/9/17,8:00:00,21.664,22.525
26/9/17,9:00:00,22.046,22.812
26/9/17,10:00:00,22.717,23.1
26/9/17,11:00:00,23.004,23.196
26/9/17,12:00:00,23.677,23.196
26/9/17,13:00:00,24.158,23.196
26/9/17,14:00:00,24.448,23.292
26/9/17,15:00:00,24.641,23.292
26/9/17,16:00:00,24.255,23.388
26/9/17,17:00:00,24.062,23.292
26/9/17,18:00:00,23.773,23.292
26/9/17,19:00:00,23.388,23.196
26/9/17,20:00:00,23.004,23.196
26/9/17,21:00:00,22.908,23.196
26/9/17,22:00:00,22.812,23.196
26/9/17,23:00:00,22.621,23.196
27/9/17,0:00:00,22.621,23.196
27/9/17,1:00:00,22.238,23.1
27/9/17,2:00:00,21.951,22.908
27/9/17,3:00:00,21.855,22.621
27/9/17,4:00:00,22.046,22.238
27/9/17,5:00:00,22.142,21.951
27/9/17,6:00:00,21.951,22.046
27/9/17,7:00:00,21.951,22.238
27/9/17,8:00:00,22.142,22.429
27/9/17,9:00:00,22.812,22.717
27/9/17,10:00:00,23.388,23.196
27/9/17,11:00:00,23.869,23.196
27/9/17,12:00:00,24.255,23.196
27/9/17,13:00:00,24.448,23.196
27/9/17,14:00:00,24.835,23.292
27/9/17,15:00:00,25.416,23.292
27/9/17,16:00:00,25.708,23.388
27/9/17,17:00:00,25.319,23.388
27/9/17,18:00:00,24.931,23.292
27/9/17,19:00:00,24.545,23.292
27/9/17,20:00:00,24.255,23.292
27/9/17,21:00:00,23.966,23.292
27/9/17,22:00:00,23.773,23.388
27/9/17,23:00:00,23.581,23.292
28/9/17,0:00:00,23.484,23.196
28/9/17,1:00:00,23.388,23.196
28/9/17,2:00:00,23.1,23.196
28/9/17,3:00:00,22.908,23.1
28/9/17,4:00:00,22.621,23.004
28/9/17,5:00:00,22.525,23.004
28/9/17,6:00:00,22.525,22.908
28/9/17,7:00:00,22.525,22.812
